what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1355878433133
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1355878433134
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1355878433135
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1355878433136
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1355878433137
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1355878433138
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1355878433141
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1355878433143
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1355878433143
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1355878433144
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1355878433144
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1355878433145
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1355878433148
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1355878433149
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1355878433151
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1355878433152
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1355878433153
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1355878433153
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1355878433153
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1355878433156
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1355878433158
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1355878433159
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1355878433161
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1355878433161
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1355878433162
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1355878433163
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1355878433163
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1355878433164
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1355878433165
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1355878433165
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1355878433166
started,bundle,com.cloveretl.gui,3.3.0.021P,"com.cloveretl.gui",1355878433166
started,bundle,com.cloveretl.gui.jmx,3.3.0.021P,"com.cloveretl.gui.jmx",1355878433166
started,bundle,com.cloveretl.gui.licensedownload,3.3.0.021P,"com.cloveretl.gui.licensedownload",1355878433166
os,sysinfo,,,"macosx",1355878433169
arch,sysinfo,,,"x86_64",1355878433169
ws,sysinfo,,,"cocoa",1355878433169
locale,sysinfo,,,"en_US",1355878433169
processors,sysinfo,,,"4",1355878433169
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355878433169
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1355878433169
java.specification.name,sysinfo,,,"Java Platform API Specification",1355878433169
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355878433169
java.specification.version,sysinfo,,,"1.6",1355878433169
java.vendor,sysinfo,,,"Apple Inc.",1355878433169
java.version,sysinfo,,,"1.6.0_37",1355878433169
java.vm.info,sysinfo,,,"mixed mode",1355878433169
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1355878433169
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355878433169
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355878433169
java.vm.specification.version,sysinfo,,,"1.0",1355878433169
java.vm.vendor,sysinfo,,,"Apple Inc.",1355878433169
java.vm.version,sysinfo,,,"20.12-b01-434",1355878433169
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1355878433177
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1355878433220
activated,perspective,com.cloveretl.gui,3.3.0.021P,"com.cloveretl.gui.perspective.ETLPerspective",1355878433229
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1355878433235
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1355878433402
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1355878435484
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1355878435496
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1355878445317
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1355878445326
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1355878445683
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1355878445691
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1355878445704
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1355878445727
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1355878445748
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1355878445776
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1355878445793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878446012
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1355878485195
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1355878606797
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1355878606820
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1355878606838
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1355878606931
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1355878606945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878610717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878612514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878672396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878676093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878722263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878730298
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1355878735923
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1355878779540
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1355878779737
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1355878779782
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1355878779804
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20111006_r372,"org.eclipse.jdt.launching.macosx",1355878779830
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1355878781548
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1355878781555
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1355878781559
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1355878781752
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1355878781779
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1355878781834
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1355878781869
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1355878781889
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1355878781945
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1355878781970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878782323
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1355878782555
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1355878782564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878791038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878791839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878792657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878795356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878795867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878816864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878817911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878818918
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1355878841211
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1355878841216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878845760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878859800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1355878859852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355878862870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879115616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879115724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879190927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879216450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879854441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879861348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879862807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879867396
opened,editor,com.cloveretl.gui,3.3.0.021P,"com.cloveretl.gui.editors.GraphEditor",1355879886842
activated,editor,com.cloveretl.gui,3.3.0.021P,"com.cloveretl.gui.editors.GraphEditor",1355879886953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879887229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879887515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879887915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1355879891856
